titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios
Salsichas múmia de halloween;Entrada;Muito Fácil;20 min;288 Kcal;4.27;1 rolo de massa folhada | 10 salsichas | Molho (mostarda, ketchup,...) (para os olhos);Disponha a massa folhada e as salsichas sobre a mesa ou plano de trabalho. | Corte a massa folhada em tiras de 1 cm de largura aproximadamente. Enrole as salsichas deixando espaços pequenos e um mais largo na parte superior para fazer de cabeça. Será onde colocará os olhos. | Pré-aquecer o forno a 200ºC. Colocar as salsichas enroladas numa placa de ir ao forno. | Levar ao forno por 10 minutos a 200ºC até que dourem. Deixar esfriar. | Com um molho (mostarda, maionese, ketchup...) faça os olhos. E já está!;
Camembert assado no forno com mel e nozes;Entrada;Muito Fácil;25 min;213 Kcal;4.62;1 camembert (250 gr) | 1 col. sopa de mel | nozes | avelãs | pistaches | sementes de girassol;Pré-aqueça o forno a 180°C. Retire o camembert da embalagem e coloque-o no ramequim. Faça cortes com a ajuda de uma faca somente na parte de cima do queijo. | Coloque o mel por cima. Polvilhe com nozes, avelãs (já quebradas) e sementes de girassol. | Leve ao forno por 20 min a 180°C. | É só servir com pedaços de pão ainda quente. Bom apetite!!;Sem glúten | Vegetariano | Sem ovo
Salada de repolho (receita japonesa);Entrada;Muito Fácil;4 horas;139 Kcal;4.67;1/4 de repolho branco | 150 ml vinagre (de arroz) | 30 gr de açúcar amarelo | 1 col sopa de nuoc nam (molho de peixe vietnamita) | 1 col chá de molho de soja (shoyo) | 2 col. sopa de azeite | sésamo (gergelim torrados);Corte 1/4 do repolho em tiras bem finas. Numa tigela pequena, misture o vinagre com o açúcar. | Quando então, o açúcar derreter, verta/despeje esse líquido no repolho já cortado. Misture bem com as mãos. Deixe na geladeira por 4 horas, misturando de vez em quando. | Escorra então o repolho. Pressione também com as mãos para retirar o máximo do líquido. Coloque o repolho na tigela de salada. | Verta/despeje o nuoc nam, o molho de soja e o azeite. Junte também os sésamos. Misture bem. | Sua salada japonesa está pronta!!!;Vegan | Vegetariano | Sem ovo
Sopa / creme de alho-poró e batata;Entrada;Muito Fácil;1 hora;169 Kcal;4.48;500 gr de batatas | 3 alhos -porós (médios) | 1 echalota (cebola roxa) | 1 cubo de caldo (ou tempere a gosto) | manteiga (ou margarina) | sal | pimenta | água | (100 ml natas/creme de leite quente opcional);Derreta a manteiga na panela e refogue (saltear) a chalota picada. | Em seguida, junte as batatas cortadas em cubos e deixe refogando (salteando) por alguns minutos. Junte agora o alho-poró picado. Misture bem. | Cubra de água, coloque sal, pimenta e o tablete de caldo. Quando ferver, deixe ainda por 30 minutos. | Despeje então o conteúdo no copo do liquidificador (ou misture com o mixer) e bata. (nata/creme de leite quente opcional). Deixe o creme homogêneo. | Seu creme está pronto para degustação. Vamos nos aquecer!!!!;Sem açúcar | Sem ovo
Rolos primavera de camarão;Entrada;Médio;30 min;172 Kcal;4.39;8 papel de arroz (crepes) | 100 g de massa de arroz (bifum) | 16 camarões descascados | 1 cenoura | 1 pepino | 1 alface | 100 g brotos de feijão (rebentos de feijão mungo/rebentos de soja) | molho de soja;Deixar o bifum/massa de arroz de molho em água quente durante 4 minutos. Escorrer e deixar sobre a mesa (plano de trabalho) onde irá preparar os rolos. | Depois de descascar a cenoura e o pepino, corte-os em lamelas (com um descascador de batatas ou uma faca). Deixar sobre a mesa onde irá preparar os rolos, assim como as folhas da alface, lavada, os brotos/rebentos de feijão mungo e os camarões. | Coloque água morna numa travessa e passe o papel de arroz dentro por mais ou menos 10 segundos. | Pousar o papel de arroz sobre a mesa e colocar dois camarões por cima, numa das pontas. | Cubra com uma folha de alface e algumas lamelas de cenoura e pepino. | Junte massa de arroz e rebentos/brotos de feijão mungo. | Para enrolar comece por cobrir o recheio com o papel de arroz, enrole e feche dos lados. Depois enrole até chegar ao fim do papel. | Faça o mesmo até terminar o papel e o recheio. Deguste com molho de soja, agridoce ou salgado.;Sem açúcar | Sem ovo
Mini patê de páscoa francês;Entrada;Muito Fácil;40 min;296 Kcal;4.52;2 massas folhadas | 12 ovos de codorniz / codorna | 300 g de carne de salsicha picada / moída | 1 cebola | 1 dente de alho | 1 raminho de salsa | 2 gemas | sal | pimenta;Estenda uma massa folhada sobre uma superfície plana e faça 12 círculos com um copo ou utensílio próprio. | Coloque os círculos numa forma de muffins e pique com um garfo o fundo de cada um. | Num recipiente, misturar a carne de salsicha picada, o alho e a cebola picados, sal e pimenta para temperar, as gemas e a salsa picada. Misturar tudo muito bem. | Colocar um pouco desta mistura sobre cada círculo. | Cozer os ovos de codorniz / codorna, 4 minutos em água a ferver. Retirar a casca e colocar um em cada círculo, sobre a mistura. | Estender a segunda massa folhada e fazer 12 círculos, mais pequenos que os anteriores. | Cobrir os muffins com os círculos mais pequenos e pincelar com ovo batido. | Levar ao forno durante 20 minutos a 180°C | Pronto !;Sem açúcar
Salada de pepino com molho de iogurte;Entrada;Muito Fácil;5 min;52 Kcal;4.86;1 copo de iogurte natural | sumo de 1/2 limão | sal | pimenta | 3 gr salsa (1 punhado) | 1 pepino;Descasque o pepino e corte-o em cubos ou rodelas. | Molho de iogurte: misture o iogurte com o sumo do limão, uma pitada de sal, uma pitada de pimenta e um punhado de salsa picada. | Misture tudo: o molho com o pepino | Está pronto.;Vegan | Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Nuvem de ovos;Entrada;Muito Fácil;30 min;3197 Kcal;4.18;2 ovos | 5 rodelas de chouriço (ou linguiça calabresa defumada) | 70 gr de queijo ralado | ervas aromáticas (ervas de Provence) | sal | pimenta;Separe as gemas das claras e coloque-os em tigelas separadas. | Coloque uma pitada de sal nas claras e bate-as em neve (em castelo) bem firme. | Pique o chouriço. Adicione as claras em neve, queijo ralado, pimenta e ervas aromáticas. Misture delicadamente, tomando cuidado para não esmagar as claras. | Com a ajuda de uma colher, retire as claras em bola e coloque-as na forma (coberta de papel manteiga). Faça também um buraco (círculo) no centro. | Leve ao forno por 7 minutos a 220°C. | No meio, coloque agora a gema e leve novamente ao forno por 2 minutos. | Nuvem de ovos prontinho. Para seu Brunch ou pequeno-almoço.;
Rolo de espinafres com queijo e fiambre;Entrada;Muito Fácil;35 min;128 Kcal;4.5;400 g de espinafres cozidos (frescos ou de conserva) | 4 ovos | 4 fatias de fiambre | 150 g de Philadelphia (ou outro cream chesse) | sal | pimenta;Bater os ovos em omelete, temperar com sal e pimenta. | Juntar os espinafres cozidos e misturar. | Esta etapa vai depender do comprimento que quer dar ao seu rolo, se grande ou pequeno. Se quer grande, espalhe a preparação sobre uma placa de ir ao forno, coberta de papel vegetal/manteiga. (Isto fará com que fique também mais fino). Se quer mais pequeno (mais grosso de espessura), uma travessa será suficiente. Leve ao forno 15 minutos a 200ºC. | Retire do forno, vire a omelete sobre um pano húmido/úmido e enrole de seguida com o pano. Deixe arrefecer. | Uma vez frio, desenrole, espalhe o queijo e coloque as fatias de fiambre. | Enrole novamente, envolva em película aderente / plástico filme e leve ao frigorífico/geladeira por pelo menos 2 horas. | Quando retirar do frio, corte em rodelas e sirva.;
Creme de abóbora-moranga;Entrada;Muito Fácil;45 min;237 Kcal;4.43;800 g de abóbora -moranga | 1 cebola | 200 ml de natas / creme de leite | sal | pimenta | noz moscada;Refogar a cebola em manteiga dentro de uma panela média ou grande. | Juntar pedaços de abóbora-moranga, descascada e lavada. Deixar cozer por um minuto. | Cobrir de água e deixar ferver. Quando ferver, colocar a fogo/lume médio e deixar cozer por mais ou menos 30 minutos. | Aquecer as natas / creme de leite, juntar à panela. Temperar com sal, pimenta e noz moscada e triturar tudo. | Servir !;Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Salada de macarrão (tomate, feta e azeitonas);Entrada;Muito Fácil;25 min;411 Kcal;4.35;350 gr de macarrão (massa penne) | 2 tomates | 150 gr de feta (queijo coalhado) | 85 gr de azeitonas pretas (sem caroço) | 5 col. sopa de azeite | 1 col. sopa de vinagre balsâmico | ervas aromáticas (ervas de Provence) | sal | pimenta;Coze (cozinhe) a massa conforme o tempo de cozedura indicado na embalagem. Passe a massa na água fria para arrefecê-la (esfriar) rapidamente. | Na mesma tigela, junte o penne, o queijo feta, os tomates cortados em cubos e as azeitas pretas. | Acrescente também as ervas aromáticas (usamos as ervas de Provence). Misture bem. | À parte, misture o azeite com o vinagre balsâmico, o sal e pimenta. Verta/despeje esse molho na salada e misture novamente. | Está pronto! Bom apetite!!;Vegetariano | Sem açúcar | Sem ovo
Como cozinhar os espargos (aspargos)?;Entrada;Muito Fácil;15 min;46 Kcal;4.63;400 gr espargo (aspargo) | sal;Limpe os aspargos (espargos). Corte a base (é a parte branca). Retire também as saliências (borbulhas) presentes ao longo do caule. | Amarre os aspargos com um fio (próprio para cozinha. Numa panela com água fria, coloque-os na posição vertical e com as cabeças para cima. | Assim que ferver, espere entre 8 a 15 minutos de cozimento (o tempo vai depender do tamanho e espessura dos aspargos). | Quando cozidos, coloque-os imediatamente em uma tigela com água gelada para manter a cor verde e a firmeza. Está pronto!;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Sopa de legumes super cremosa na bimby (thermomix);Entrada;Muito Fácil;30 min;107 Kcal;4.42;150 gr de alho - poró | 200 gr de batata | 360 gr de cenoura | 120 gr de nabo | 200 gr de aipo | 1 dente de alho | 1 cebola | 20 ml azeite | 1 pitada de sal (usamos o sal grosso) | 1 pitada de pimenta | 850 ml água;Coloque o alho e a cebola cortada em dois no copo do robot e triture por 5 segundos na velocidade 5. | Raspe as laterais do copo com uma espátula, adicione o azeite e doure durante 5 minutos a 120°C na velocidade 1 (sem o copo medidor). | Lave os legumes (descasque os que precisam se não forem orgânicos) e corte-os em pedaços antes de adicioná-los à tigela com a água, sal grosso e pimenta. | Cozinhe 25 minutos a 100°C, velocidade 1 | Misture 1 minuto aos poucos até a velocidade 10. Ajuste os temperos se necessário e bom apetite!;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Sanduíche de batata;Entrada;Muito Fácil;40 min;331 Kcal;4.22;4 batatas | 4 fatias de raclette (queijo tipo fondue) | 2 fatias de presunto cru (serrano) | 2 colheres de sopa de azeite | sal | pimenta do reino;Corte as batatas descascadas ao meio, sentido vertical. Unte a forma e coloque-as. Jogue por cima das batatas um fio de azeite. Por último, uma pitada de sal e pimenta. | Coloque no forno 30 minutes à 180°C, sem esquecer de virá-las. | Tire as batatas do forno e coloque por cima de cada uma, metade de uma fatia de queijo. Cozer novamente por cerca de 5 minutos (até que o queijo se derreta). | Retire-as do fogo e coloque metade de uma fatia de presunto serrano por cima de cada batata. Coloque a metade da batata em cima da outra metade. Para segurar a batata, utilize um palito por exemplo. | Estão prontos os sanduíches de batata com queijo e presunto!;Sem glúten | Sem açúcar | Sem ovo
Egg boats de queijo (barco de ovos);Entrada;Muito Fácil;20 min;1778 Kcal;4.47;2 pães pequenos | 2 col. sopa de natas (creme de leite) | 100 gr bacon (em pedaços) | 100 gr de queijo (usamos Munster) | 2 ovos;Cortar a parte de cima de cada pão e retirar o miolo (para criar um barco). | Na frigideira, doure os pedacinhos de bacon. Coloque uma colher de sopa de natas no fundo de cada pão e junte o bacon. | Corte o queijo em tiras e coloque-os também no pão. | Parta um ovo dentro. Coloque novamente um pouco de bacon e de queijo sobre a clara do ovo. | Leve ao forno por 10 minutos a 180°C. | Prontinhos!!;
Creme de curgete / abobrinha;Entrada;Muito Fácil;30 min;254 Kcal;4.12;500 g de abobrinhas (curgetes) | 1 cebola | 150 ml de água | 1 caldo de legumes (em cubo) | manteiga | Queijo creme | sal | pimenta;Derreter a manteiga numa panela e refogar a cebola dentro. | Juntar as curgetes descascadas e cortadas em cubos. Deixar cozer por 5 minutos. | Juntar a água, o caldo de legumes e temperar de sal e pimenta. Cobrir a panela e deixar cozer por 15 minutos a fogo médio. | Colocar as curgetes e um pouco da água da cozedura dentro de um liquidificador (ou outro robot que mixe/triture), junte duas colheres de sopa de queijo creme (se este já estiver em cubos, junte 2). Triture tudo. Junte água da cozedura se necessário. | Pode servir ! Bom Apetite !;Sem açúcar | Sem ovo
Ovo poche com creme de abacate;Entrada;Muito Fácil;14 min;411 Kcal;4.56;1 fatia de pão integral | 1 ovo | 1/2 abacate | 1 col. chá de azeite | vinagre | sal | sésamo (gergelim);Numa tigela, coloque meio abacate (descascado e sem semente). Junte o azeite, sal e amasse tudo com a ajuda de um garfo. | Ovo poche: Quebre o ovo e deixe-o num copo. Reserve. Numa panela, coloque a água a ferver com um fio de vinagre. Quando ferver, com a ajuda de um garfo, faça um redemoinho no centro e verta o ovo reservado. Deixe cozer por 4 minutos e retire-o da água com uma escumadeira. Reserve o ovo poche. | Toste sua fatia de pão. Montagem: pão + abacate + ovo. | Para finalizar, polvilhe com sésamo (gergelim). Bom apetite!;Vegetariano | Sem lactose | Sem açúcar
Croquetes de queijo;Entrada;Muito Fácil;35 min;362 Kcal;4.67;300 gr de batata | 50 gr de queijo (raclette ou outro que derreta bem) | 1 gema | sal | pimenta do reino | noz moscada | 2 colheres de sopa de farinha | 1 ovo batido | 5 colheres sopa pão ralado (farinha de rosca) | óleo para fritar;Descasque e corte as batatas em rodelas. Coloque-as numa panela com água fervente e sal até ficarem cozidas. Retire. | Amasse-as (como purê) e junte o sal, pimenta do reino, noz moscada e a gema. Misture bem. Corte o queijo em quadradinhos. | A medida para cada croquete é de uma colher de sobremesa. Faça uma bolinha, amasse-a levemente e coloque o quadrado de queijo. Feche a bolinha. | Passe a farinha, em seguida o ovo batido e por último o pão ralado (farinha de rosca). | Frite os croquetes numa fritadeira em média 5 minutos, ou até fiquem dourados. Ou então use uma panela com óleo quente, mas não esqueça de virá-los. | Croquetes de queijo fondue prontinhos a serem devorados!;Vegetariano | Sem açúcar
Salada de lentilhas e batata doce;Entrada;Muito Fácil;50 min;228 Kcal;4.64;450 gr de batata doce (1/2 batata) | 3 col. sopa de azeite | sal | pimenta | 250 ml água | 80 gr de lentilhas verdes | 150 gr de tomates cerejas | 1/2 cebola roxa | 15 gr de salsa | 20 gr de rúcula | sumo de 1 limão;Lentilhas: Coloque as lentilhas numa panela com água fria e deixe ferver. Assim que ferver, deixe cozer em fogo baixo por 25 minutos. Escorra e reserve as lentilhas. | Batata doce Descasque-a e corte-a em pequenos pedaços. Misture com 2 col. sopa de azeite, sal e misture. Distribua as batatas numa travessa já coberta de papel vegetal. Leve ao forno por 15 minutos a 180°C. | Montagem: Numa tigela, misture as lentilhas, batata doce, rúcula, salsa picadinha, tomates cerejas (cortados ao meio). | Tempero: Junte 1 col. sopa de azeite, sal e o sumo de limão. Misture novamente. Bom apetite!!;Sem glúten | Vegan | Sem lactose | Sem açúcar | Sem ovo
Ovo à la coque: cozimento perfeito;Entrada;Muito Fácil;4 min;73 Kcal;4.54;1 ovo (fresco) | 1 litro água;Comece sempre verificando a temperatura do ovo fresco, ele não pode estar muito frio. Se estiver na geladeira (no frio), deixe a temperatura ambiente 5 minutos antes de começar a receita. | Numa panela, deixe a água ferver. | Assim que ferver, mergulhe delicadamente o ovo (para evitar que ele se quebre). | Deixe cozinhar entre 3 a 4 minutos conforme a textura que desejar e também conforme o tamanho do ovo. | Retire o ovo e coloque-no no coquetier (copo específico para ovos). Corte a tampa dando pequenos golpes com a faca de serra. Bom apetite!;Sem glúten | Vegetariano | Sem lactose | Sem açúcar
Bruschetta com queijo, pesto e tomate cereja;Entrada;Muito Fácil;5 min;2019 Kcal;4.31;2 fatias (grandes) de pão (torrada ou não) | 2 col. sopa (bem cheias) de queijo creme (ver dicas) | 8 col. chá pesto | 6 tomates cerejas | 15 pinhões | 8 folhas manjericão (fresco);Barre/passe generosamente em cada fatia, 1 col. bem cheia de queijo creme (tipo philadelphia). | Por cima de cada fatia, 3 tomates cerejas cortados ao meio. | Entre os tomates, coloque o molho pesto. | Decore as fatias com manjericão fresco. | Termine com os pinhões. | Está pronto!;
Sopa fria de ervilhas (fácil);Entrada;Muito Fácil;20 min;965 Kcal;4.15;250 gr de ervilhas (cozidas ou congeladas) | 200 ml caldo de legumes | 1 col. sopa de natas (creme de leite) | sal | pimenta | hortelã (ou folhas de menta);Com a ajuda da varinha mágica, misture as ervilhas com o caldo frio. | Em seguida, junte as natas, o sal, a pimenta e misture novamente. | Por último as folhas de hortelã. | Deixe agora a mistura na geladeira por 15 minutos. | Ao servir, decore com um fio de azeite e pedacinhos do queijo feta. | Está pronto! Gostou? Deixe seu comentário.;Sem açúcar | Sem ovo
Creme de cogumelos cremoso;Entrada;Muito Fácil;50 min;635 Kcal;4.31;600 g de champignon (cogumelos) | 1 cebola | 500 ml de natas (creme de leite) | sumo de 1/2 limão | 200 ml de vinho branco seco | sal | pimenta | noz moscada | manteiga;Derreter a manteiga numa panela grande e refogar a cebola. | Lave e corte os cogumelos, junte-os à panela e deixe alguns minutos. Junte o vinho, o sumo de limão, o sal, a pimenta e a noz moscada. | Cobrir a panela e deixar cozinhar por 30 minutos. Coloque as natas a aquecer. | Junte as natas e triture tudo até que a mistura fique homogénea. | Servir !;Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Tabulé libanês, salada fácil e muito refrescante;Entrada;Muito Fácil;1 h 15 m;361 Kcal;4.42;200 gr de sêmola (cuscuz grãos médios) | 5 tomates | 1 maço salsa (grande) | 1/2 maço hortelã | 1 cebola (média) | 2 limões (sicilianos) | 7 col. sopa azeite | sal | pimenta do reino;Enxague a sêmola na água várias vezes. Enxugue-a e coloque-a na tigela grande. | Lave e corte os tomates em cubos. Descasque e pique as cebolas. Coloque-os na tigela e misture. | Pique a hortelã e acrescente na tigela. Misture bem. | Faça o sumo dos dois limões e regue o tabulé. Tempere com azeite, sal e pimenta do reino. Misture. | Leve o tabulé ao frio (geladeira) por 1 hora. Está pronto.;Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Tarteletes tatin de tomate cereja;Entrada;Muito Fácil;40 min;303 Kcal;4.33;1 massa folhada | 250 g de tomates cereja | 6 c. de sopa de açúcar | 2 c. de sopa de vinagre balsâmico | parmesão | ervas à escolha;Colocar o açúcar e o vinagre num tacho, misturar e levar ao lume/fogo forte. Quando estiver em ponto caramelo, deixar cozer por 5 minutos (sem deixar queimar). | Verter a preparação anterior nas formas de tartelete. Certifique-se que cobre o fundo inteiro com o caramelo. | Cortar os tomates cereja em dois e colocar nas formas com a face cortada para baixo. | Polvilhar com parmesão e ervas ao seu gosto. Colocar massa folhada por cima. | Levar ao forno por 20 minutos a 200ºC. A massa folhada vai inchar, não se preocupe que ela volta ao normal alguns minutos depois de cozer. | Retire dos moldes, cabeça para baixo (como a tarte tatin). Polvilhe com ervas e está pronto.;Vegetariano
Gaspacho;Entrada;Muito Fácil;10 min;126 Kcal;4.55;500 gr tomates (em média 5) | 1/2 pepino | 1/2 pimentão (verde ou vermelho) | 1/2 dente de alho | 1 col. sopa de azeite | sal;Lave e corte os tomates em dois (com as sementes). Descasque o pepino e corte em pedaços. Limpe o pimentão. (Reserve alguns pedacinhos desses legumes. Serão usados na decoração). Coloque tudo no liquidificador e bata. | Acrescente o alho descascado, o azeite, o sal e bata novamente. Sirva na tigela. | Coloque agora os pedacinhos de legumes por cima. | Finalize com um fio de azeite. Está pronto!;Vegan | Sem glúten | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
