titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios
Carne de vaca estufada;Prato Principal;Médio;40 min;486 Kcal;4.21;200 gr de carne de vaca em cubos | 1 cebola | 2 colheres de sopa de tomate | 1 folha de louro | 2 cravinhos | 1 raminho de salsa | 1 cenoura | 1/2 copo de vinho branco | 1 copo de água | azeite | farinha trigo | sal | pimenta;Pique a cebola e refogue-a num fio de azeite juntamente com o louro. | Passe a carne por farinha e quando a cebola estiver dourada acrescente-a e deixe-a refogar um pouco. | Acrescente a cenoura em rodelas, os cravinhos, o tomate, o vinho e a água, tempere com sal e pimenta e deixe a carne cozer até ficar tenra. | Quando a carne estiver cozida retire-a do molho assim como algumas rodelas de cenoura. | Remova os cravinhos e o louro do molho e passe-o com a varinha mágica. | Volte a acrescentar a carne e a cenoura ao molho e deixe levantar fervura antes de servir.;Sem lactose | Sem açúcar | Sem ovo
Pataniscas de bacalhau tradicionais: receita fácil, rápida e crocante;Prato Principal;Médio;1 h 30 m;473 Kcal;4.38;1 posta (lombo) de bacalhau | 150 gr de bacalhau desfiado e demolhado | 1/2 cebola média | 2 alhos | 3 ovos | salsa | cerveja | farinha de trigo | sal | pimenta q.b. | óleo para fritar;Para que não haja confusão na receita, devo explicar que nos ingredientes, uso uma posta de bacalhau + 150 gr. de bacalhau desfiado. E tal deve-se ao facto de na altura achar, e bem, que só uma posta não era suficiente e tendo bacalhau desfiado no congelador, adicionei mais um bocadinho. Usem o que tiverem em casa. Metade do bacalhau é refogado para dar mais sabor às pataniscas mas não quis exagerar, daí o uso do restante cozido. Cozi a posta de bacalhau, tirei as espinhas e desfiei grosseiramente para uma tigela funda. | Cortei os dois alhos em pedacinhos e foram a refogar numa frigideira com azeite. Juntei as 150 gr. de bacalhau desfiado (previamente espremido) e partido em pedacinhos. | O peixe, mesmo depois de espremido, vai largar alguma água. Deixam cozinhar até secar totalmente. | Depois de arrefecido, juntei o bacalhau desfiado ao cozido, alhos incluídos. | Adicionei meia cebola em cubinhos pequenos, a salsa e a pimenta preta. | Bati dois ovos e uma gema com um garfo e juntei ao preparado. | Juntei farinha aos poucos até a massa ganhar alguma consistência, mas reparem que deve continuar bastante molinha e húmida. | Não pode ficar uma massa muito firme, senão as pataniscas ficam duras ou borrachosas. | Depois introduzi aproximadamente 0,5 dl de cerveja branca, envolvi delicadamente e, por fim, a clara que sobrou, batida em castelo firme. | Rectifiquei de sal e fritei colheres de sopa da massa em óleo bem quente.;Sem lactose | Sem açúcar
Bacalhau com natas à portuguesa: receita tradicional, cremosa e fácil de fazer;Prato Principal;Médio;1 h 5 m;739 Kcal;4.56;700 g de bacalhau demolhado | 600 ml de leite | 1 cebola | 2 col. de sopa de farinha trigo | 1 kg de batatas | 200 ml de natas (creme de leite) | 200 g de queijo ralado ou pão ralado (farinha de rosca ) | sal | pimenta | azeite;Levar o leite a ferver. Quando ferver, juntar as postas de bacalhau já demolhadas. Deixar cozer por 10 minutos. | Retirar as postas do leite, reservando o leite. Desfiar o bacalhau, retirando as espinhas. | Refogar as cebolas em azeite quente. Quando começarem a ficar transparentes, juntar o bacalhau e a farinha e misturar tudo. | Juntar um pouco do leite da cozedura do bacalhau e misturar até espessar. Juntar um pouco mais de leite e fazer o mesmo. Repita a operação até terminar o leite. Quando espessar, desligue o lume/fogo e reserve. | Lavar, descascar e cortar as batatas em cubos. Fritar em azeite quente. Não frite as batatas como se fossem batatas fritas, o objetivo é cozê-las, mas em azeite e numa frigideira. | Misturar as batatas com a preparação de bacalhau, e verter o todo numa travessa de ir ao forno, untada com manteiga. | Verter as natas por cima e polvilhar de queijo ralado ou pão ralado / farinha de rosca. | Levar ao forno por 35 minutos a 180°C. | Pronto para se deliciar ?;Vegan | Vegetariano | Sem açúcar | Sem ovo
Peixe gratinado fácil;Prato Principal;Fácil;1 h 35 m;388 Kcal;4.48;600 gr de peixe branco (pescada, tilápia,merluza) | 500 gr de batata | 200 gr de cogumelo s (champignons de Paris) | 35 gr de farinha de trigo | 35 gr de manteiga (margarina) | 500 ml leite | 70 gr de queijo ralado | sal | pimenta | noz moscada;Descasque e corte as batatas em cubos. Cozinhe-as por 10 minutos na água fervente. | Unte a forma e verta/despeje as batatas já cozinhas. Por cima das batatas, coloque o peixe cortado em grandes pedaços. Por último, os champignons lavados e laminados por cima do peixe. | Preparando o béchamel : no tacho/panela, derreta a manteiga e verta/despeja de uma vez a farinha.Misture com o fouet (batedor). | Junte aos poucos o leite, sempre mexendo. O molho deverá engrossar. Jogue uma pitada de sal, pimenta e noz moscada. | Verta/despeje o béchamel na forma em toda a superfície. Por último, o queijo ralado. | Leve ao forno por 40 minutos a 180°C. | Peixe gratinado pronto para ser servido.;Sem açúcar | Sem ovo
Coelho à caçador;Prato Principal;Fácil;50 min;1121 Kcal;4.11;1/2 Coelho | 2 dentes de alho | 1 folha e louro | 100 ml vinho branco | 100 ml vinho tinto | Sal e Pimenta q.b. | 2 colheres sopa de azeite | 1 cebola grande | 1 colher de chá de colorau | 1 ramo de salsa;Corte o coelho em pedaços e tempere-o com os alhos picados, o louro, o sal e a pimenta. Junte o vinho e deixe marinar. | Tempere o colho de véspera porque a carne do coelho é bastante doce e necessita de tempo para adquirir os temperos. | Pique bem a cebola e junte ao coelho. Adicione o azeite e o colorau e o ramo de salsa. | Coza o coelho em lume brando durante cerca de 40 minutos. | Mexa ocasionalmente e se o molho secar junte um pouco de vinho ou água. | Acompanhar com batatas novas cozidas.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Nuggets de frango (fácil e saboroso);Prato Principal;Fácil;32 min;523 Kcal;4.69;200 gr de frango | 2 col. sopa de farinha de trigo | 2 ovos | 100 gr de pão ralado (farinha de rosca) | sal | pimenta | óleo para fritar;Coloque o peito de frango no triturador. Tempere com sal e pimenta a gosto. Triture finamente o frango. | Recupere 1 col. chá do frango moído e forme uma pequena bola. | Empane na farinha de trigo e em seguida nos ovos (já batidos como omelete). Termine empanando com pão ralado. Certifique que os nuggets esteja bem cobertos. | Logo em seguida, refrigere os nuggets por 20 minutos (serve para fixar o pão ralado). | Frite-os na fritadeira com óleo bem quente, durante 2 minutos. | Fácil, fácil. Seus nuggets estão prontos e deliciosos!;Sem lactose | Sem açúcar
Caril de frango fácil;Prato Principal;Fácil;40 min;471 Kcal;4.38;200 ml de leite de coco | 300 g de frango | 1 cebola (1 ou 2) | 1/4 de pimento (pimentão) amarelo | 2 cenouras | cebolinho (a) | 1 c. de sopa de azeite | 1/2 limão | 15 g de manteiga | gengibre em pó | 1 c. de sobremesa de paprica (colorau) | 1 c. de sopa de caril (curry) | 1 c. de sopa de concentrado de tomate | 2 dentes de alho;Cortar o frango em pedaços e colocar num recipiente. Ralar o alho e juntar ao frango, mais o caril e o sumo/suco do meio limão. Misture e deixe marinar. | Coloque a cebola, o pimento/pimentão amarelo, as cenouras e o cebolinho/a no liquidificador. Mixe até obter uma pasta espessa. | Aquecer o azeite e a manteiga numa frigideira e junte os legumes da preparação anterior. Deixe cozer por 10 minutos para fazer evaporar a água dos legumes. | Junte o concentrado de tomate, o gengibre, a paprica, salgue e apimente. Misture. (Junte uma pitada de açúcar caso o concentrado de tomate for muito ácido). | De seguida junte o frango marinado e deixe cozer. | Uma vez o frango cozido, junte o leite de coco e misture. | Deixe cozer até que a mistura ganhe textura. | Acompanhe com arroz branco.;Sem glúten | Sem açúcar | Sem ovo
Soufflé de queijo Gruyère;Entrada;Difícil;55 min;410 Kcal;4.75;6 ovos | 200 g de queijo Gruyère | manteiga | farinha | leite | noz-moscada | sal;Preparar um roux com manteiga e farinha. | Adicionar leite e formar um béchamel. | Misturar gemas e queijo. | Bater claras em castelo e envolver. | Cozer imediatamente em forno alto sem abrir.;Vegetariano
Moussaka grega, mussaca, mussaka;Prato Principal;Fácil;1 h 35 m;361 Kcal;4.59;2 beringelas (berinjelas) | 500 gr de carne de cordeiro picado | 1 cebola | 1 dente de alho | 1 ramo de ervas | azeite;Lavar e cortar as beringelas/berinjelas em fatias de 1 cm mais ou menos. Colocar sobre uma placa de forno coberta de papel vegetal/manteiga, regar com azeite, temperar com sal e pimenta e levar ao forno por 20 minutos a 200ºC. | O molho de tomate : Colocar os tomates sem pele e cortados aos pedaços dentro de uma panela/tacho com azeite. Temperar com sal e pimenta e juntar meia colher de sobremesa de canela e o concentrado de tomate. Misturar e deixar reduzir a fogo/lume médio por 15 minutos mais ou menos. | Refogar a cebola em azeite, juntar o cordeiro picado e deixar cozer. | Juntar o molho de tomate, o dente de alho picado e o ramo de ervas. Misturar e deixar cozer a fogo/lume médio por 15 minutos mais ou menos. | O molho branco : Derreter a manteiga e juntar a farinha. Misturar. | Juntar o leite, pouco a pouco, misturando sempre. Se começar a ficar com grânulos, passe-o ao mixer. Misture, sempre ao lume/fogo, até que o líquido espesse um pouco. | Retire do lume e junte o ovo batido, misturando vigorosamente. | Numa travessa grande, untada de azeite, coloque uma camada de beringelas, depois a carne e alise. | Cubra com mais uma camada de beringelas e regue o todo com o molho branco. | Levar ao forno por 35 minutos a 180ºC. Olhando de vez em quando para não queimar. | Pronto para servir !;Sem glúten | Sem ovo | Sem açúcar | Vegan | Vegetariano
Bacalhau à brás, receita tradicional portuguesa fácil e saborosa;Prato Principal;Fácil;55 min;350 Kcal;4.6;500 gr bacalhau demolhado | 5 ovos | sal | pimenta | salsa fresca | azeite | 2 cebolas médias (cortadas em meias luas) | 3 dentes alho (picados) | 1 folha louro | 250 gr batata palha | azeitonas pretas;Em uma panela, ferva a água e em seguida cozinhe o bacalhau demolhado por cerca de 10 minutos. | Retire a pele e as espinhas. Desfie o bacalhau e reserve-o. | Bata os 5 ovos em omelete. Tempere com sal e pimenta. Coloque salsa a gosto. Misture e reserve. | Numa frigideira, aqueça um bom fio de azeite e refogue as cebolas descascadas e cortadas em meias-luas, os alhos descascados e picados e a folha de louro. Cozinhe até ficar translúcido. Retire a folha de louro. | Acrescente o bacalhau e refogue por cerca de 3 minutos. Junte agora as batatas palhas. Mexa com cuidado. | Acrescente os ovos batidos e misture. Junte também as azeitonas (a gosto). Não deixe os ovos cozinharem e secarem demais. | Está pronto. Decore com a salsa picadas e algumas azeitonas.;Sem glúten | Sem lactose | Sem açúcar
Leite creme;Sobremesa;Fácil;30 min;112 Kcal;4.39;1 litro de leite | 7 colheres (sopa) de açúcar | 5 gemas | 4 colheres (sobremesa) Maizena | 1 pau canela | 1 casca de limão;Levar o leite a ferver com o pau de canela e a casca do limão. | Entretanto bater ligeiramente o açúcar com as gemas e a Maizena. | Quando o leite ferver, retirar a canela e o limão, e juntar lentamente à mistura de ovos, mexendo sempre. | Colocar a mistura novamente no tacho onde se ferveu o leite e passar com a varinha para desfazer eventuais grumos da Maizena. | Deixar no lume brando até engrossar, sem parar de mexer. Colocar numa travessa e polvilhar com canela ou queimar. | Para queimar basta polvilhar com açúcar e queimar com ferro próprio.;Sem açúcar | Sem glúten | Vegetariano
Tarte de pastel de nata;Sobremesa;Médio;1 h 10 m;258 Kcal;4.36;1 base de massa folhada | 5 ovos | 5 colheres (sopa) de farinha | 5 colheres (sopa) de açúcar | 1/2 litro de leite | 1 pau de canela | raspa de um limão ou essência de baunilha (depende do sabor que gostar mais);Unte uma forma de fundo amovivel com margarina e ponha a massa folhada. | Num tacho deite as gemas, o açúcar, a farinha, a raspa de limão (ou essência), e o leite mexendo sempre muito bem. Adicione por fim o pau de canela e leve ao lume até engrossar. | Deite o preparado na forma e leve ao forno até a massa cozer (cerca de 30 min a 180°C). Depois ligue o forno por cima e deixe tostar tipo pastel de nata. Deixe arrefecer um pouco antes de desenformar. Bom apetite;Vegetariano
Serradura;Sobremesa;Fácil;20 min;782 Kcal;4.44;2 pacotes de natas / creme de leite FRIAS | 1 pacote de bolacha maria (biscoito de manteiga) | 1 lata de leite condensado (cozido ou normal);Batem-se as natas em castelo (em neve) | Em seguida mistura-se o leite condensado mexendo muito bem. | Mistura-se as bolachas trituradas na picadora (mixer). | Por fim coloca-se um pouco da bolacha maria por cima para enfeitar. | Coloca-se no frigorífico (geladeria) até servir.;Vegetariano
Bolinhos de côco: simples e irresistível;Sobremesa;Fácil;40 min;239 Kcal;4.31;250 g côco ralado | 180 g de açúcar | 3 ovos | 1 col. de chá de fermento em pó;Numa taça coloque os ovos inteiros, clara e gema, mexa bem. | Adicione o açúcar e volte a mexer. Por fim adicione o côco e o fermento e envolva tudo muito bem. | Com a ajuda de uma colher encha as formas de papel até meio e leve ao forno pré-aquecido a 180º durante 10 minutos. | Bom apetite!;Sem glúten | Vegetariano | Sem lactose
Bolo de bolacha;Sobremesa;Fácil;1 hora;399 Kcal;4.63;2 pacotes de bolachas Maria | 250 g de manteiga amolecida | 250 g de açúcar | 3 gemas de ovo | 200 ml de café | 1 colher de sobremesa de açúcar (para o café - opcional);Bater a manteiga por 5 minutos. Juntar o açúcar e bater por mais 5 minutos. Por fim junte as gemas e bata novamente por 5 minutos. Reserve. | Junte a colher de açúcar ao café (isto é opcional). Molhe rapidamente uma bolacha dentro e disponha sobre um prato raso grande. Não molhe muito tempo as bolachas dentro do café, o objetivo não é que fiquem moles mas que tenham o gosto a café. | Uma por uma, disponha as bolachas formando uma flor. | Espalhar numa camada fina o creme de manteiga que reservou. | Fazer camadas de bolacha molhada no café e creme de manteiga até lhe sobrar apenas 5 bolachas. | Termine com uma camada de creme de manteiga. Triture as 5 bolachas que guardou e decore o bolo. | Pôr no frigorífico / geladeira por algumas horas e servir.;Vegetariano
Massa de crepes perfeita;Sobremesa;Fácil;40 min;112 Kcal;4.37;250 g de farinha trigo | 4 ovos | 500 ml de leite | 2 colheres de sopa de óleo | 1 colher de sobremesa de extrato de baunilha | 1 pitada de sal;Misture a farinha e o sal num recipiente fundo. Faça um buraco no meio e coloque os ovos. | Misture e junte o extrato de baunilha e o óleo. Se for demasiado duro de misturar, junte um pouco de leite. | Depois, junte o leite pouco a pouco, misturando sempre. No fim, cubra o recipiente (só para proteger) e deixe repousar por 1 hora (na geladeira/frigorífico). | Aquecer uma frigideira ou uma frigideira própria para crepes e untar de óleo com um papel de cozinha. Verter um pouco de massa dentro e deixar cozer por um minuto. Virar do avesso, cozer 1 minuto igualmente e retirar. Faça o mesmo até acabar a massa. | Pronto ! Recheie com açúcar em pó / de confeiteiro, doce, geleia, mel, chocolate para barrar, açúcar ou deixe assim mesmo. Bom Apetite !;Sem glúten | Sem ovo | Vegetariano
Tiramisú italiano cremoso;Sobremesa;Médio;30 min;380 Kcal;4.5;2 ovos | 250 g de mascarpone | 250 ml de café | 3 col. sopa de cacau em pó | chocolate em barra (opcional) | 20 biscoitos champagne | 7 col. sopa de açúcar;Misture o café com uma 1 col. de açúcar e deixar esfriar. | Separar as claras das gemas. Bater energéticamente as gemas com o açúcar. | Juntar o mascarpone e mexer suavemente. | À parte, bater as claras em castelo. | Incorporar as claras à mistura de gemas e mascarpone.Misturar suavemente com a ajuda de uma espátula. | Molhar levemente as bolachas no café, e colocar uma camada no molde. | Faça agora uma camada de creme. Polvilhe com uma cacau e por cima raspas de chocolate. | Repita o mesmo processo até o final. O creme será a última camada. Cubra com filme plástico e deixe no frigorífico (geladeira) da noite pro dia. | Antes de servir, polvilhe ainda com cacau em pó e coloque as raspas de chocolate. | Está pronto. O melhor é de um dia para outro, mas para os apressadinhos, mínimo 4 horas na geladeira (frigorífico).;Vegetariano
Pastéis de nata (o clássico português);Sobremesa;Médio;55 min;185 Kcal;4.53;1 massa folhada retangular | 250 ml de leite | (casca de 1 limão orgânico) | 30 gr de farinha de trigo | 150 gr de açúcar | 75 ml de água | 4 gemas;Enrole a massa folhada (sobre ela mesma) e corte em 12 partes iguais. | Unte/barre as formas e coloque 1 pedaço cortado da massa folhada dentro de cada forma. (veja vídeo). Abra a massa dentro de cada forma. Basta pressionar com os dois polegares para espalhar a massa na forma. Reserve! | Num tacho/panela, comece a esquentar 150 ml de leite com a casca do limão. Num copo grande, por exemplo, dissolva a farinha com o restante do leite (100 ml). Quando o leite (com a casca de limão) começar a ferver, junte a misture o leite-farinha e mexa sem parar com a ajuda da vara de arames (fouet ou batedor). A mistura deverá engrossar dentro de alguns minutos. | Retire a casca e peneire esta mistura para retirar eventuais grumos. Reserve. Coloque água e açúcar na panela e comece a esquentar. | Quando levantar fervura, deixe ainda por 4 minutos. Desligue e retire do fogo. E então despeje/verta esta calda de açúcar em fio sobre o creme, sempre misturando. Deixe esfriar/arrefecer por alguns minutos. | Por último junte as gemas e misture bem. Despeje essa mistura dentro de cada forma (que já está com a massa folhada). Não preencha por inteiro, deixe um pequeno espaço. | Leve ao forno 15 minutos a 230°C. | Seus pastéis de nata estão prontos. Não hesite em polvilhar com canela em pó antes da degustação, quente ou frio.;Vegetariano
Cheesecake de morango e 10 mil visitas;Sobremesa;Fácil;10 min;652 Kcal;4.46;1 lata de leite condensado | 2 pacotes de natas (caixinha de creme de leite) | 8 folhas de gelatina | 200 g de queijo philadelphia | 1 pacote de bolacha maria | 100 g de margarina | doce de morango;Triture as bolachas e junte a margarina derretida, mexa bem e deite no fundo de uma tarteira. | Leve ao frigorífico enquanto prepara o creme. | Demolhe as folhas de gelatina e derreta em 1 dl de leite. Bata as natas em chantilly e reserve. | Bata o queijo uns segundos com o leite condensado e junte as natas, adicione a gelatina derretida e deite sobre a base de bolacha. | Leve ao frigorifíco para solidificar (mínimo 4 horas) | Retire e espalhe por cima o doce de morango , leve de novo ao frigorífico e sirva bem fresco.;
Folhados de maçã rápido;Sobremesa;Fácil;35 min;186 Kcal;4.58;1 massa folhada | 3 maçãs | açúcar | canela em pó | 1 gema de ovo;Cortar a massa folhada em 8 partes iguais. | Descascar e fatiar as maçãs em pedaços médios. Coloque-os sobre a massa folhada (4 pedaços por cada parte da massa). | Polvilhe com açúcar e canela. | Com a ajuda de uma faca, faça 3 cortes verticais, começando no alto do triângulo. | Comece a dobrar do centro ao exterior, cada parte da massa folhada. | Em uma assadeira, ponha os folhados, pincele-os com gema e em seguida, coloque-os ao forno durante 20 minutes à 180°C. | Chegou a melhor hora. Os folhados estão prontos esperando serem atacados.;Vegetariano
Tarte mille-feuille de framboesa;Sobremesa;Difícil;2 h 30 min;520 Kcal;4.86;massa folhada | creme diplomata | framboesas frescas | açúcar em pó | baunilha | manteiga;Laminagem da massa folhada em múltiplas dobras. | Cozer as folhas até estaladiças. | Preparar creme diplomata com baunilha. | Montar camadas alternadas. | Finalizar com açúcar polvilhado e framboesas.;Vegetariano
Soufflé vegano de batata-doce e alecrim;Entrada;Difícil;50 min;290 Kcal;4.69;batata-doce | aquafaba | farinha de grão-de-bico | alecrim | azeite | sal;Bater aquafaba até firme. | Fazer puré de batata-doce com azeite e alecrim. | Envolver delicadamente. | Assar sem abrir o forno. | Servir imediatamente.;Vegano | Sem Glúten
Bolo entremet de chocolate e framboesa;Sobremesa;Difícil;3 h;520 Kcal;4.93;bolo de chocolate | mousse de framboesa | glaçagem espelhada | gelatina | manteiga | açúcar;Assar base de bolo. | Preparar mousse e congelar em molde. | Montar entremet em camadas. | Fazer glaçagem espelhada. | Verter sobre bolo congelado.;Vegetariano
Panquecas simples;Sobremesa;Fácil;20 min;210 Kcal;4.20;200 g de farinha | 2 ovos | 300 ml leite | 1 colher de sopa de açúcar;Misturar farinha, ovos e leite até obter massa homogénea. | Aquecer frigideira e verter pequenas porções. | Cozinhar até dourar.;Vegetariano | Sem glúten
Salada detox;Entrada;Fácil;10 min;;4.00;alface | pepino | limão | sementes de chia;Lavar e cortar os vegetais. | Misturar tudo numa taça e temperar com limão.;Vegan | Sem lactose
